hike_id,name,n_records,n_users,avg_dist_km,avg_uphill,avg_diff,lat_center,lon_center
1 2 3 non faccio calcoli punta almana_45.72_10.15,"1,2,3... non faccio Calcoli: Punta Almana!",2,1,10.513165281987302,710.3110000000004,2,45.72032055,10.1477036
1 2 cornizzolo e monte rai di corsa_45.83_9.32,1 - 2....Cornizzolo e Monte Rai di corsa!,1,1,12.625104411798477,1117.9170288499995,2,45.831726950000004,9.3172979
1000er st gli_47.33_7.89,1000er Stägli,2,1,8.527687530546272,328.5999999999998,2,47.3282815,7.894581499999999
12 apostel grat_47.53_10.74,12-Apostel-Grat,1,1,5.470669261080668,1031.5289999999998,5.75,47.52783045175,10.7399619883
18 20 agosto 2012 ai piedi del cervino_45.92_7.61,18-20 agosto 2012 Ai piedi del Cervino,2,1,40.89600040718069,3110.890039062497,3.25,45.92456,7.613502
19 25 pranzando in grigna settentrionale_45.97_9.37,19+25 pranzando in Grigna Settentrionale,2,1,4.694439783117403,1010.8810000000004,3,45.966660333797336,9.37363759148866
1a tappa av valmalenco e ritorno_46.23_9.81,1a tappa AV Valmalenco....e ritorno!,1,1,19.486099013243432,1663.0326904499996,3.25,46.22906355,9.80582525
2 kurze tripps um gro aitingen und st ottilien_48.22_10.76,2 kurze Tripps um Großaitingen und St. Ottilien,2,1,9.936644421743368,61.52399999999989,1,48.220548438839614,10.761666004545987
2 pirati un dragoncello e il senter bandit_45.58_10.32,"2 pirati, un Dragoncello e il Senter Bandit.",1,1,9.751584738286244,805.5939999999999,2,45.58240035,10.3172575
2 stobs auf der buachaille etive beag 925m und 958m_56.65_-4.97,"2 Stobs auf der Buachaille Etive Beag, 925m und 958m",2,1,9.51200542858417,873.9990000000003,4,56.649424927300004,-4.968077056149999
2 versuch matona h tte_47.18_9.55,2. Versuch Matona Hütte,1,1,5.738234936274765,392.7999999999997,2,47.1822285,9.547906000000001
20 56 uhr sonnenuntergang auf der alp sigel_47.28_9.46,20:56 Uhr - Sonnenuntergang auf der Alp Sigel,1,1,7.619857128207358,755.885,3,47.284997000000004,9.4569105
20km rund um kufstein_47.58_12.17,20km rund um Kufstein,1,1,19.887322614636194,219.31617187499975,2,47.57855944801122,12.169447671622038
22 anni al resegone_45.83_9.46,22 anni al Resegone!,1,1,17.343412659867134,1575.66,3.25,45.83385419100523,9.458989673294127
24 12 2017 fuck the panettone noi amiamo le creste del grione_45.82_10,24/12/2017. Fuck the Panettone... noi amiamo le Creste del Grione.,1,1,13.203511194189755,1033.2560000000008,3,45.8182349,9.99626065
24 h monte prealba up and down_45.67_10.33,24 H Monte Prealba - UP and DOWN,2,1,6.170787711270763,508.08000000000015,2,45.670471,10.3251355
25 aprile double face rifugio pontese 2217 m e santuario di sant anna 1481 m_45.49_7.37,"25 Aprile double face ""Rifugio Pontese 2217 m e...Santuario di Sant'Anna 1481 m",2,1,8.558776855141419,559.5380000000005,2,45.485425936058164,7.371965856291354
28 dicembre 2016 giornata favolosa anche se un po ventosa_46.21_9.68,28 dicembre 2016: giornata favolosa anche se un po ventosa!,2,1,5.025393011839599,759.9269999999999,2,46.20694041252136,9.684074954129755
2o giorno della notte bianca della girovagando tentativo fallito cima tentativo risotto riuscito_46.4_8.83,2o Giorno della Notte Bianca della Girovagando - tentativo fallito cima - tentativo RISOTTO riuscito,2,1,9.385670122230911,634.7539999999998,3.75,46.3988371,8.8324629
2t gige nagelfluhrunde 1 tag_47.48_10.03,2tägige NagelfluhRunde - 1.Tag,2,1,10.470764773522701,1108.11,3.25,47.4795685,10.028607999999998
2t gige nagelfluhrunde 2 tag_47.49_10.07,2tägige NagelfluhRunde - 2.Tag,2,1,23.50527590371454,1157.2,4,47.485056,10.0670485
