hike1,hike2,similarity
1 2 3 non faccio calcoli punta almana_45.72_10.15,la punta almana salirci un giogo_45.7_10.14,0.7901614513175947
1 2 3 non faccio calcoli punta almana_45.72_10.15,sulla punta almana gi primavera_45.71_10.14,0.7850333588922277
1 2 3 non faccio calcoli punta almana_45.72_10.15,ancora gol m direttissima 3v_45.77_10.18,0.7565508781407853
1 2 cornizzolo e monte rai di corsa_45.83_9.32,un anello con tre perle corno orientale di canzo sasso malascarpa e cornizzolo_45.85_9.31,0.8555797762069673
1 2 cornizzolo e monte rai di corsa_45.83_9.32,metti una giornata al cornizzolo tanto per schivare la pioggia_45.85_9.31,0.8458184694102769
1 2 cornizzolo e monte rai di corsa_45.83_9.32,cornizzolo monte rai sasso malascarpa_45.85_9.31,0.8361242597954686
1 2 cornizzolo e monte rai di corsa_45.83_9.32,corni di canzo da valbrona_45.87_9.32,0.8287486676147047
1 2 cornizzolo e monte rai di corsa_45.83_9.32,resegone dalla strada per morterone_45.87_9.47,0.7287490595764723
1 2 cornizzolo e monte rai di corsa_45.83_9.32,rifugio sev corni di canzo_45.86_9.3,0.715780192930624
19 25 pranzando in grigna settentrionale_45.97_9.37,grignetta canale pagani e caimi_45.91_9.39,0.7191628102385745
2 kurze tripps um gro aitingen und st ottilien_48.22_10.76,in der k nigsbrunner heide entlang des lochbachs_48.28_10.91,0.7153151860172684
2 pirati un dragoncello e il senter bandit_45.58_10.32,santi e santelle aiutano a eliminare il colesterolo valle del garza_45.6_10.26,0.8528566755200152
2 pirati un dragoncello e il senter bandit_45.58_10.32,nelle braccia di una spoglia maddalena_45.54_10.28,0.7630130500006392
2 pirati un dragoncello e il senter bandit_45.58_10.32,clibbio madonna della neve_45.63_10.46,0.7326701396560678
20 56 uhr sonnenuntergang auf der alp sigel_47.28_9.46,hoher kasten_47.3_9.49,0.7746756394417803
20 56 uhr sonnenuntergang auf der alp sigel_47.28_9.46,meglisalp bis ebenalp via ageteplatte und sch fler_47.27_9.39,0.7513627879960635
20 56 uhr sonnenuntergang auf der alp sigel_47.28_9.46,alp sigel 1769m ber die zahme gocht_47.29_9.45,0.7160983078826137
20 56 uhr sonnenuntergang auf der alp sigel_47.28_9.46,stockberg_47.22_9.23,0.7021530434340492
20 56 uhr sonnenuntergang auf der alp sigel_47.28_9.46,bollenwees bis gampl t via roslen saxer first_47.23_9.38,0.7014997212345355
22 anni al resegone_45.83_9.46,monte resegone_45.84_9.47,0.7565425496892555
22 anni al resegone_45.83_9.46,resegone cresta sud_45.86_9.45,0.7481139769399372
22 anni al resegone_45.83_9.46,traversata alta e bassa delle grigne_45.93_9.4,0.7127442934317849
22 anni al resegone_45.83_9.46,orscellera pesciola campelli da moggio_45.94_9.51,0.7027482474411656
24 12 2017 fuck the panettone noi amiamo le creste del grione_45.82_10,pizzi e lazzi intorno al coren_45.83_9.96,0.7966610794461702
24 12 2017 fuck the panettone noi amiamo le creste del grione_45.82_10,vento foglie neve ma niente olezzo poi ecco il monte torrezzo 1378 mt_45.77_9.98,0.7442295324766477
24 12 2017 fuck the panettone noi amiamo le creste del grione_45.82_10,monte bronzone e sentieri inesplorati_45.71_9.97,0.7288771387200292
24 12 2017 fuck the panettone noi amiamo le creste del grione_45.82_10,una faccia di bronzone sul corno buco_45.69_9.98,0.7242359041480165
24 12 2017 fuck the panettone noi amiamo le creste del grione_45.82_10,un p si va di qua un p si va di la ma alla fine punta cunicolo e corna trentapassi_45.75_10.1,0.7012317733484986
24 h monte prealba up and down_45.67_10.33,ferrata nasego vertical corna di savallo_45.71_10.31,0.7949500767823179
24 h monte prealba up and down_45.67_10.33,con l incenso io mi rilasso_45.78_10.49,0.7247407929366446
3 weihnachtstag 2015 herbstlich hoher strau berg_47.54_10.82,die entdeckung des westgrates l sertalkopf_47.55_10.88,0.7408900119604503
3 weihnachtstag 2015 herbstlich hoher strau berg_47.54_10.82,vier gipfel runde in den ammergauern gratspazierg nge und latschenk mpfe_47.56_10.9,0.7302046872001657
3 weihnachtstag 2015 herbstlich hoher strau berg_47.54_10.82,kreuzspitz l e_47.53_10.9,0.7268041529972564
33e course p destre thyon dixence_46.13_7.38,corne de sorebois 2896 m_46.13_7.58,0.7047602532480091
3v tappe 4 5 cittiglio sasso del ferro pizzoni monte nudo casalzuigno cittiglio_45.91_8.67,monte nudo 1235 m pizzoni di laveno 1035 m e sasso del ferro 1062 m_45.91_8.68,0.8166952847916938
4 tagestour ber und um den pizzo campo tencia_46.46_8.73,pizzo dell uomo anticima n 2585 m_46.56_8.79,0.7295874886980593
5 terre anello monterosso santuario della madonna di soviore p ta mesco monterosso_44.15_9.65,cinque terre_44.12_9.71,0.7801895868183366
5 terre anello monterosso santuario della madonna di soviore p ta mesco monterosso_44.15_9.65,5 terre anello monterosso vernazza santuario madonna di reggio santuario madonna di soviore mon_44.15_9.67,0.7224226697641354
60 e non sentirli al rifugio san lucio_46.1_9.08,da carena al sasso guid e alla biscia un triangolo super panoramico_46.18_9.11,0.7865859097254639
60 e non sentirli al rifugio san lucio_46.1_9.08,monte boglia colma regia anello dalla val solda_46.04_9.03,0.7854280494159213
