user,hike_id
Bergfritz,remsteinkopf 1945 m_47.22_13.23
Bergfritz,schuhflicker 2214 m_47.24_13.17
igor,cima d erbea est quota 2164m e gaggio 2267m_46.21_8.97
rkroebl,waldst tterweg alpnachstad buochs_46.97_8.36
rkroebl,waldst tterweg buochs beckenried und gersau brunnen_46.99_8.51
siso,pizzo d era 2618 m skitour_46.53_8.82
ivanbutti,mattinata sul due mani_45.9_9.44
swiss86,rundwanderung oberatzm nnig chr zegg habr tispitz_47.29_9.01
Menek,solo con un anno in pi e con i corni rossi_45.72_10.2
swiss86,vom obersee auf den tierberg und zur ck_47.09_8.99
SCM,das erste mal auf dem etliberg im jahr 2018_47.36_8.5
SCM,creux du van im winter_46.94_6.73
saimon,alpe di tongia 1809 m da biasca via sentiero santa petronilla_46.35_8.98
saimon,chironico 782 m anello da personico piccolo trail_46.4_8.88
carpintero,l tispitz via s dflanke_47.21_9.29
ser59,val d ancogno sodadura stradini rif lecco ceresola_45.96_9.54
ser59,vilmaggiore pizzo tornello pianezza_46.02_10.09
cappef,loccia di peve 2127m monte alom 2011m croce di rovareccio 1767m_46.15_8.41
igor,camogh da nord e discesa da nord ovest canale_46.14_9.04
cristina,grigna meridionale 2185 da ballabio_45.91_9.41
Krokus,die tulpen von grengiols_46.38_8.11
johnny68,in den entlegensten winkel des kantons bern durch die combe de biaufond zum doubs_47.17_6.87
CampoTencia,rundwanderung durch die tobel von wald_47.29_8.93
83_Stefan,hangspitze 1746 m auf steilen pfaden ber mellau_47.35_9.86
cai56,bocchetta chiaro ricerca di un vecchio sentiero_46.24_9.38
cristina,cima sat 1276 m giochello 1519 m valdes 1577 m e d oro 1802 m_45.9_10.81
cristina,monte marzola 1738 m sentiero bertotti_46.05_11.18
cristina,monticello 1857 m e roccapiana 1873 m burrone giovanelli_46.24_11.12
cristina,monte biaena 1617 m sentiero somator e de le laste_45.89_10.99
Poncione,hikerata al triangolo lariano_45.9_9.17
martynred,camogh 2227 m segor 2096 m e gazzirola 2115 m_46.11_9.07
bula_f,probstenwand ostgrat und hennenkopf_47.67_11.49
rkroebl,waldst tterweg luzern alpnachstad_47_8.31
ZvB,henne nkopf ei problem_47.67_11.49
Urs,s ntis_47.27_9.38
360,woods lake a nice alternative start for a ski tour to round top_38.68_-120.01
Sky,pizzo dell uomo anticima n 2585 m_46.56_8.79
giorgio59m,cime di noga e grotta dell orso_46.04_9.06
Roald,hike to plattenberg 2081 m_47.08_8.95
ser59,ceresola zuccone dei capelli zucco di pesciola_45.97_9.51
Bertrand,gorges du tigre en travers e du naxi lodge au walnut garden_27.23_100.13
Menek,salita al dosso pedalta per la via invernale_45.78_10.16
QuerJAG,uele und wandfluhgrat sch ner mann 1532m_47.35_9.72
beppe,monte generoso da muggio_45.92_9.02
ser59,pizzo farno cima d aviasco m dei frati_46.01_9.82
ser59,tre signori da introbio_46_9.49
ser59,cabianca canale nord madonnino_46.02_9.84
cai56,monte boletto_45.82_9.16
carpintero,tschugga via vorderspina_47.07_9.43
carpintero,fall tsche_47.34_8.51
giorgio59m,sasso gordona 1410mt e dintorni_45.9_9.07
Bertrand,travers e du massif du tian bao shan montagne du tr sor c leste_27.73_99.92
Bertrand,run engiadina bassa lavin martina_46.82_10.27
GIBI,tris di monti brembani molinasco sornadello e foldone_45.86_9.63
Luidger,nekropole von pant lica_37.14_15.03
Massimo,anello chiavennasco_46.32_9.42
Poge,cima moltrino e monte zingla_45.7_10.53
cristina,dallo zucco 1232 m al sornadello 1580 passando da_45.84_9.64
viciox,lai da vons 1994 m_46.58_9.38
rkroebl,waldst tterweg k ssnacht a r luzern_47.06_8.37
johnny68,mont raimeux top of canton of jura_47.29_7.4
Luidger,lahnerkopf einsame berschreitung in den tegernseer bergen mit w rze_47.64_11.83
GIBI,solito monte boglia ma questa volta da oria valsolda_46.02_9.02
viciox,mottone di garzonera 1968 m rifugio garzonera 1973 m_46.51_8.64
GIBI,vagabondando senza una meta precisa per la val colla_46.06_9.02
hikemania,sdm le super parcour de la montagne die wahrscheinlich h rteste bergtour im europ ischen flachla_48.36_2.53
CampoTencia,im kessel des schreizen giessen_47.42_8.88
Curi,zwieselberg und konsorten_47.73_11.49
ZvB,zwischenzeitbergtour_47.61_10.85
Menek,ferrata spigolo della bandiera cresta della marmera e alla fine un bello spino_45.68_10.55
D!nu,weg der schweiz komplett_46.95_8.59
milan,schienerberg im fr hsommer eine runde ber die h ri_47.68_8.9
D!nu,fl elen bauen weg der schweiz_46.91_8.6
Poncione,cima torrione m 1783 per il v cc sent e_46.08_8.89
Riosambesi,le s n py 1769 m_44.92_5.73
Marco86,giro ad anello monte todano e pizzo pernice da miazzina_46_8.53
Francesco,cresta giumenta e resegone_45.84_9.45
igor,the king is back pizzo rotondo 3192m_46.5_8.47
danicomo,generoso wild corte dei genovesi e camoscia vera tentativo_45.93_9
martynred,vertical sass de fer_45.91_8.63
83_Stefan,gai kogel 2820 m pock around the clock_47.2_11.04
cai56,campione d italia_45.95_8.98
QuerJAG,pf nder gro en 940m via nobelkamm und finken_47.57_9.78
GIBI,pizzo cerro castello regina_45.83_9.61
Riosambesi,mont orchez 1347 m aussichtsberg ber dem vall e de l arve_46.09_6.56
Bombo,via musflue 1756m ruessiflue 1943m zum matthorn 2040m_46.96_8.24
carpintero,tablettes via s dgrat_46.97_6.76
cristina,un lunghissimo giro nella terra di menek_45.6_10.31
cristina,la giornata perfetta_45.85_9.33
Marco86,monte san primo 1686m_45.92_9.23
beppe,tris sui monti lariani m pasquella m costone cima della duaria da colonno_45.97_9.14
Stijn,bivouac at monte san primo dorsale del triangolo lariano_45.93_9.18
DiAmanditi,vom baumwipfelpfad ber den geiersberg 442 m nach handthal_49.86_10.45
QuerJAG,pf nder felsenfenster bei stegen 750m_47.55_9.77
83_Stefan,pf nder 1062 m der sanfte regent am bodensee_47.5_9.76
ZvB,ein kantiges h rnle ber den d chern von burgberg_47.55_10.31
GIBI,monte generoso e pizzo della croce_45.93_9.04
GIBI,un monte cornizzolo da simpatici incontri_45.83_9.31
giorgio59m,val cramosino into the wild_46.39_8.87
Nitt Gashi,jezerca auf schnee 2694m_42.43_19.82
QuerJAG,hinteregger grat mit luguntenkopf 1702m_47.38_9.98
gurgeh,pizalun_46.96_9.53
Bergfritz,vogelbergsteig mit starhembergwarte 564 m_48.4_15.52
rkroebl,gersau weggis k ssnacht a r auf dem waldst tterweg_47.01_8.47
Roald,gross aubrig 1695 m the snow is almost gone_47.11_8.89
joe,von der saalh he nach biberstein_47.43_8.03
gurgeh,tour de moron_47.25_7.28
Menek,una mattina sul bluzena per la via attrezzata e grotte a corredo_45.76_10.13
cicindela,binn brunnebiel zu fuss alpin_46.37_8.21
cappef,monte bavarione 1505m_46.03_8.58
rkroebl,zug gerisee sattel im fr hling_47.14_8.57
Curi,zwischen markneukirchen und landw st_50.28_12.32
Curi,runde ab t dtenried_48.38_11.18
cristina,val trompia corna caspai 1393 m monte palo 1461 m corna di savallo 1473 m punta reai 1247 m e_45.71_10.29
cristina,monte bregagno 2107 m_46.07_9.23
Bergamotte,regitzer spitz 1135m ab m ls_47.05_9.49
D!nu,b tziflue stockflue_47.01_8.59
atal,arvoira valle antigorio_46.21_8.31
tignoelino,giro ad anello nella bassa valgrande_46_8.47
CampoTencia,vogelberg chellench pfli leider ohne blumen_47.36_7.71
Riosambesi,mont rachais 1046 m_45.23_5.73
carpintero,ravellen berschreitung und roggenflue via s dwestkamin_47.3_7.71
gurgeh,b rgenstock sans les hotels resort_46.99_8.37
Poge,monte pallarea e monte ceppo_43.93_7.8
Makubu,canyon du buement maljon_47.27_7.48
rkroebl,appenzell kronberg 1663 m schw galp_47.29_9.35
Linard03,grosse hegau runde_47.81_8.78
Sky,cima ezendola 2174 m_45.99_10.22
GIBI,monte barro anche detto monte di galbiate_45.83_9.39
cristina,anello al monte tobbio 1092 m e laghi del gorzente_44.57_8.82
cristina,lecco resegone 1875 m o meglio dalla primavera all inverno_45.86_9.44
Riosambesi,sentier du littoral six fours les plages n tre dame du mai_43.06_5.83
Poge,monte grammondo cima longoira bec de l ormea_43.82_7.52
Riosambesi,sommet de vaumuse 1435 m_44.15_6.1
Nitt Gashi,der gro vraca vraca e madhe 2582m_41.93_20.73
Menek,traversata tra i pizzi un piacere fashion d altri tempi_45.83_9.95
