Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
4385329275,"Nov 24, 2020, 5:15:30 PM",24 novembre 2020 avec Gab,Run,"",4431,6.88,,,false,,,activities/4385329275.gpx,,,4431.0,2513.0,6885.3,7.0,2.74,47.2,31.1,9.6,38.3,44.6,0.3,,,,,,,,,599.0,,,,,,,,,4.0,,,,,0.0,27.0,0.0,,1.0,6966.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,""
4406183965,"Nov 29, 2020, 8:27:51 AM",Mon Gros avec parents 2/11,Hike,"",9044,8.70,,,false,,,activities/4406183965.gpx,,,9044.0,6848.0,8707.3,5.4,1.272,443.0,436.9,323.3,662.5,48.8,0.1,,,,,,,,,749.0,,,,,,,,,4.0,,,,,0.0,76.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5649.0,,,,,,,,,,,,,,,,,""
4408248024,"Nov 29, 2020, 2:25:15 PM",Course gab racha,Run,"",5092,6.23,,,false,,,activities/4408248024.gpx,,,5092.0,2725.0,6234.7,5.6,2.288,12.9,23.7,9.6,23.4,20.6,0.0,,,,,,,,,536.0,,,,,,,,,5.0,,,,,0.0,49.0,0.0,,1.0,6227.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,""
4437972643,"Dec 6, 2020, 2:33:13 PM",Course à pied dans l'après-midi,Run,"",1138,2.69,,,false,,,activities/4437972643.gpx,,,1138.0,1051.0,2690.6,4.5,2.56,48.5,56.9,19.0,66.9,24.3,-0.3,,,,,,,,,241.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,2805.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,""
4450731921,"Dec 9, 2020, 3:11:23 PM",Sortie gab racha,Run,"",4906,7.23,,,false,,,activities/4450731921.gpx,,,4906.0,3311.0,7238.5,8.2,2.186,42.3,33.7,9.6,30.7,26.6,0.1,,,,,,,,,631.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,7341.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,""
4503117744,"Dec 22, 2020, 8:59:49 AM",Course racha,Run,"",4739,6.63,,,false,,,activities/4503117744.gpx,,,4739.0,3248.0,6634.0,7.3,2.042,25.2,22.7,9.6,23.4,24.4,0.0,,,,,,,,,573.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6658.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,""
4598727097,"Jan 10, 2021, 10:30:25 AM",Berceau sous la neige,Hike,"",15533,10.53,,,false,,,activities/4598727097.gpx,,,15533.0,10908.0,10534.3,3.8,0.966,790.1,790.0,339.5,1097.7,50.0,0.0,,,,,,,,,906.0,,,,,,,,,6.0,,,,,0.0,287.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10283.5,,,,,,,,,,,,,,,,,media/a0248440-eb44-47c3-bb4e-330a22848e4d.jpg|media/a7ae76ae-8006-46e4-8cd0-08d6e822cf84.jpg|media/e51b1116-df7c-4138-abe2-064b47b6cc35.jpg
4636418915,"Jan 17, 2021, 10:46:56 AM",Grandmont,Hike,,15060,7.08,,,false,,,activities/4636418915.gpx,,,15060.0,9192.0,7081.0,3.0,0.77,411.4,497.4,869.0,1357.7,50.0,-1.2,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,102.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4877037656,"Mar 2, 2021, 8:17:53 AM",Ski rando avec mum et Philipe,Backcountry Ski,,20384,16.50,,,false,,,activities/4877037656.gpx,,,20384.0,10539.0,16501.5,17.5,1.566,983.9,986.7,1624.1,2034.2,49.5,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,336.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4893169497,"Mar 5, 2021, 8:10:51 AM",Foret de Menton avec Chris et Marc,Ride,,7308,17.82,,,false,,,activities/4893169497.gpx,,,7308.0,4790.0,17822.6,13.3,3.721,403.3,788.2,10.5,626.1,48.8,-2.2,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,53.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5293676121,"May 13, 2021, 7:47:31 AM",Sortie à vélo matinale,Ride,,14549,30.84,,,false,,,activities/5293676121.gpx,,,14549.0,11473.0,30843.8,12.7,2.688,1050.4,1566.6,343.6,1068.8,34.8,-1.7,,,,,,,,,,,23.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
