ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Support
8529095401,"8 févr. 2023, 22:35:32",Course à pied de nuit,Course à pied,PS : j ai mangé une fondue ce soir,60,"0,03",,,false,,,activities/8529095401.gpx,,,60.0,14.0,37.7,1.493,2.694,0.0,-0.1,1817.9,1818.0,1.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.629,0.0,,,,,,,,,,,,,,,,,""
8541679713,"11 févr. 2023, 10:15:04",Ski nordique en amoureux ,Ski nordique,Patatra et roulés boulés,3264,"3,85",,,false,,,activities/8541679713.gpx,,,3264.0,2400.0,3854.9,6.014,1.606,56.2,53.3,1429.5,1461.7,26.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.181,0.0,,,,,,,,,,,,,,,,,media/8A351657-B8FF-42F3-9389-0CA0FD0226F7.jpg
11089261698,"2 avr. 2024, 09:29:15",Corsa all’ora di pranzo,Course à pied,,3695,"8,77",,,false,,,activities/11089261698.gpx,,,3695.0,3476.0,8772.6,4.712,2.524,78.0,77.8,388.8,428.1,30.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8958.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.374,5213.6,,,,9096.0,,,,,,,,,,,,,""
11455399664,"20 mai 2024, 09:39:56",Vélo à Copenhague avec Peppi,Vélo,[strava://athletes/73330810/15]Hugo Demule-Rey [strava://athletes/50499229/14]Léonard Amsler,15078,"41,84",,,false,,,activities/11455399664.gpx,,,15078.0,10063.0,41844.1,7.098,4.158,29.9,19.3,-5.3,14.1,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.775,8203.2,,,,,,,,,,,,,,,,,media/8099BAC6-C484-4B44-905F-344C9754DA66.jpg|media/4AC0FCB7-B19A-4456-9AC5-05C45A21F3B6.jpg
12041406871,"1 août 2024, 23:42:54",Mont Hallasan 🌋🇰🇷,Randonnée,[strava://athletes/73330810/15]Hugo Demule-Rey 🫶🏼,26632,"18,00",,,false,,,activities/12041406871.gpx,,,26632.0,20533.0,18008.0,5.091,0.877,1380.4,1380.4,588.6,1923.0,49.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.676,18008.0,,,,31058.0,,,,,,,31058.0,,,,,,media/13CC6099-E36E-4331-B90D-2235ED30CDFF.jpg|media/6086A69E-3C8F-43FD-A8A9-4E4D89376F92.jpg|media/7ECDA250-637F-41F5-8E89-D875D363886C.jpg
12216468707,"22 août 2024, 18:14:22",Course à pied au crépuscule,Course à pied,Avec Mam’s,3615,"9,81",,,false,,,activities/12216468707.gpx,,,3615.0,3613.0,9813.0,4.256,2.716,46.4,46.4,402.4,434.3,13.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9835.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.715,4009.7,,,,9052.0,,,,,2.722,,,,,,,,media/41A7ACF9-C5F0-49EE-9402-D59F9C2A6335.jpg|media/0C34341F-68A7-42BA-BD6C-AD42BBAF6993.jpg
12292155516,"31 août 2024, 18:14:25",Course à pied le soir,Course à pied,"",1981,"4,91",,,false,,,activities/12292155516.gpx,,,1981.0,1964.0,4917.1,3.576,2.504,19.0,19.9,415.6,428.1,14.1,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4946.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.482,3065.2,,,,4930.0,,,,,2.518,,,,,,,,""
12315039763,"3 sept. 2024, 12:14:45",Course à pied dans l'après-midi,Course à pied,,5456,"12,56",,,false,,,activities/12315039763.gpx,,,5456.0,5176.0,12565.6,3.964,2.428,283.1,283.1,1327.2,1473.1,45.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,13698.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.303,5723.2,,,,12852.0,,,,,2.647,,,,,,,,""
12356300009,"8 sept. 2024, 08:27:05",Course à pied du midi,Course à pied,,4336,"10,63",,,false,,,activities/12356300009.gpx,,,4336.0,4282.0,10632.6,3.696,2.483,47.0,47.0,415.6,434.3,12.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10693.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.452,3510.9,,,,10550.0,,,,,2.497,,,,,,,,""
12418499527,"15 sept. 2024, 12:12:37",Premier tour à vélo !!,Vélo,Le baptême pour l’anniversaire de [strava://athletes/100360144/18]Marguerite Derwael 💖💖💖💖,12644,"52,71",,,false,,,activities/12418499527.gpx,,,12644.0,10020.0,52718.8,13.342,5.261,731.2,731.2,421.1,940.4,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1726401536.0,8.0,16.5,13.6,6.3,0.51,1021.1,7.5,15.0,38.0,0.0,1726377216.0,1726422400.0,0.375,,,0.0,1.0,0.02,33325.0,5.0,,,,,0.0,4.169,0.0,,,,,,,,,,,,,,,,,media/CA9A9EFC-29E0-4441-8FCF-FDD0B81B8E15.jpg
12475012816,"22 sept. 2024, 09:09:02",Première course à Torino 😜😎,Course à pied,12ème km dans le dur 🤕 heureusement qu’il y’a la playlist Hardstyle ❤️‍🔥,7360,"20,00",,,false,,,activities/12475012816.gpx,,,7360.0,7326.0,20008.6,3.943,2.731,96.3,96.3,217.0,241.7,18.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,20177.3,1726995584.0,3.0,17.7,17.7,12.6,0.72,1019.9,1.1,1.9,306.0,0.0,1726982144.0,1727025920.0,0.625,,,0.34,5.0,0.96,28426.0,3.0,,,,,0.0,2.719,8976.2,,,,18476.0,,,,,2.754,,,,,,,,media/0A2C41C4-D18E-42D2-A1CD-DB8F10999AD2.jpg|media/8FE4C920-BCD5-46E3-8692-6642174671C9.jpg
12663687183,"15 oct. 2024, 09:26:11",Colle di Nel 2551m,Randonnée,Bellissimo,30038,"20,68",,,false,,,activities/12663687183.gpx,,,30038.0,20122.0,20680.5,3.358,1.028,1097.5,1100.3,1576.6,2532.1,49.8,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.688,19626.4,,,,30040.0,,,,,,,30040.0,,,,,,media/2BE5C2BD-F0DF-4273-82A7-62A15DD7D9C5.jpg|media/8CF918CC-30B7-4170-A313-673C989E31FC.jpg|media/D5E8386D-BD99-447E-96CD-FDD0FF28720A.jpg|media/6EFD1569-1EA7-4EB9-8B58-C0151B44511F.jpg|media/25665E02-B8F5-496D-8863-FFA484F7554A.jpg|media/D23870BB-160B-4111-9718-1634C5D0F035.jpg
12686421451,"18 oct. 2024, 16:33:28",Course à pied le soir,Course à pied,,1316,"4,33",,,false,,,activities/12686421451.gpx,,,1316.0,1316.0,4337.8,4.352,3.296,25.1,25.1,225.1,239.2,7.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4370.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.296,954.8,,,,3398.0,,,,,3.321,,,,,,,,""
12832217928,"5 nov. 2024, 16:08:34",Le long du Pô + Monte dei Cappuccini 🌙🌃🌜,Course à pied,"[strava://athletes/126419243/15]Arnaud Lambelet 
Petite course sympathoche",3763,"10,63",,,false,,,activities/12832217928.gpx,,,3763.0,3631.0,10637.4,4.4,2.93,80.3,80.3,211.0,285.6,40.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10976.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.827,7679.5,,,,9712.0,,,,,3.023,,,,,,,,media/5C11E9CD-1BC3-4C6F-8730-1D56A470940A.jpg|media/05B95C24-8F50-4AA9-85F1-3CC361D1C647.jpg|media/061265A3-5D34-472E-A796-39A66FA783D9.jpg
13022280645,"1 déc. 2024, 07:49:53",Torino City Run 5KM 🏃‍♀️🇮🇹🐾,Course à pied,Avec [strava://athletes/73330810/15]Hugo Demule-Rey 🫰🏻Doggy run 🐾🐕 Viva l’Italia et la raclette 🇨🇭🧀🇮🇹❤️,1607,"5,16",,,false,,,activities/13022280645.gpx,,,1607.0,1607.0,5167.8,5.12,3.216,25.8,25.8,235.3,254.9,13.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5214.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.216,147.7,,,,4350.0,,,,,3.245,,,,,,,,media/4D431287-F3F5-4D58-8E28-31BCD86AF1D5.jpg|media/69423B24-C024-490A-A8CE-EA5DF4B203F3.mp4|media/8753DE38-6637-44DF-BCD2-7160FE70E212.mp4|media/17A20EE0-9E24-4AB1-929C-607C2F7EB7D9.jpg|media/882836C8-A7B3-4ED4-AC26-D67241F4C442.jpg
